Name,_01,_02,_03,_04,_05,_06,_07,_08,_09,_10,_11,_12
X0063_Y0037,99.433876,-9.065113,45.197563,14.161696,73.983475,50.279537,60.19607,71.46587,61.574207,46.699665,58.73601,43.82827
X0064_Y0037,46.87777,-7.114291,6.349459,27.50033,83.912384,17.786924,64.11031,67.36534,62.445274,43.249866,77.52748,42.857143
X0065_Y0037,48.63931,19.237509,27.689234,11.285801,84.80197,36.834625,64.24449,17.87016,86.22688,80.25057,67.00577,69.793045
X0066_Y0037,40.910595,29.399717,0.9742303,17.86248,89.49564,31.960472,67.593315,29.116133,59.922806,81.12384,60.009987,66.15919
X0067_Y0037,43.09467,42.512558,-7.9825306,30.29433,88.81695,39.136253,48.202297,11.885773,59.56498,71.73245,69.69634,67.60144
X0068_Y0037,57.620758,29.998108,6.5783405,6.6834803,90.488594,59.729965,65.9533,30.048586,74.83773,77.67998,79.2582,
X0069_Y0037,46.403473,26.876844,68.35148,27.066288,94.02951,56.220676,69.76081,64.04803,69.75197,86.73845,81.80009,90.968254
X0070_Y0037,82.30818,10.984863,68.28806,16.487553,93.93393,49.84017,66.468216,46.14144,70.42148,77.194695,71.16793,62.303955
X0071_Y0037,2.151249,13.116005,56.088665,33.256504,84.66034,85.16233,62.37953,37.212456,60.94475,83.969246,73.085556,58.515957
X0055_Y0038,,,,,,,,,,,,
X0056_Y0038,88.84379,85.53066,89.70713,49.503128,97.79475,87.30538,35.738422,9.913642,80.364204,29.460575,90.252815,23.333334
X0057_Y0038,100.0,92.90476,11.117647,15.590909,92.52941,17.691177,50.10294,18.867647,57.92647,30.411764,66.46154,-14.685715
X0058_Y0038,100.0,47.25,19.0,30.25,98.25,44.75,75.5,22.25,11.5,-3.25,71.5,-15.0
X0059_Y0038,85.24436,65.13403,71.26303,43.414368,90.00745,83.41415,81.091324,17.788218,61.45072,67.07052,33.382996,58.171494
X0060_Y0038,79.11012,55.346085,66.51392,34.36298,90.967,85.74645,56.084946,57.187935,54.042324,59.37342,15.32224,36.172215
X0061_Y0038,-4.1754203,22.361526,55.219566,29.368813,90.28753,83.56045,40.1978,65.56479,67.43767,47.622246,32.97571,44.85858
X0062_Y0038,55.518986,-1.8139883,15.076445,19.942322,87.9279,78.94424,59.99183,66.91142,78.77796,47.536243,23.529804,59.055405
X0063_Y0038,98.56027,5.7366524,24.505415,30.221947,82.563995,72.87538,47.708286,65.37233,83.97318,45.132893,31.109976,100.0
X0064_Y0038,96.77781,41.44247,26.284683,18.420578,85.595856,20.829168,65.879234,25.736788,72.13706,54.401226,46.338577,64.13851
X0065_Y0038,86.562904,28.913025,8.088414,13.315013,84.04812,39.742912,56.81165,21.199371,68.405975,73.447136,62.278103,49.582916
X0066_Y0038,49.92909,26.631834,-2.2057457,13.907015,84.550804,37.027905,68.192055,23.730238,61.63735,76.90782,69.20201,62.516533
X0067_Y0038,28.056087,67.63767,-3.6824553,37.831444,92.09379,31.99024,77.211105,24.596605,53.054344,67.70626,77.27732,48.18738
X0068_Y0038,51.353416,14.132538,19.661573,24.267365,87.93953,42.67252,68.84704,12.795605,66.83814,73.70419,87.88149,78.784294
X0069_Y0038,44.91723,20.24689,65.89445,33.002995,92.178505,69.31185,72.82485,43.878643,61.364452,62.655457,88.243744,78.37242
X0070_Y0038,47.33688,34.97167,63.29877,19.537987,88.7515,72.30678,72.868225,41.629578,41.837627,64.45226,82.19341,71.63961
